creationDate,startDate,endDate
2019-04-04 08:45:05 -0500,2019-04-04 07:23:58 -0500,2019-04-04 08:45:00 -0500
2019-04-05 07:35:03 -0500,2019-04-05 01:15:00 -0500,2019-04-05 07:35:03 -0500
2019-04-08 07:01:37 -0500,2019-04-08 01:36:08 -0500,2019-04-08 07:01:32 -0500
2019-04-09 09:00:10 -0500,2019-04-09 08:34:16 -0500,2019-04-09 09:00:04 -0500
2019-04-10 08:10:48 -0500,2019-04-10 01:40:19 -0500,2019-04-10 08:10:43 -0500
2019-04-12 08:18:33 -0500,2019-04-12 03:51:12 -0500,2019-04-12 08:18:28 -0500
2019-04-15 07:45:11 -0500,2019-04-15 06:44:29 -0500,2019-04-15 07:45:06 -0500
2019-04-16 09:21:38 -0500,2019-04-16 02:11:05 -0500,2019-04-16 09:21:33 -0500
2019-04-17 09:11:48 -0500,2019-04-17 02:56:48 -0500,2019-04-17 09:11:43 -0500
2019-04-18 09:11:01 -0500,2019-04-18 02:23:21 -0500,2019-04-18 09:10:56 -0500
2019-04-19 08:11:09 -0500,2019-04-19 03:05:37 -0500,2019-04-19 08:11:04 -0500
2019-04-22 07:00:06 -0500,2019-04-22 00:57:53 -0500,2019-04-22 07:00:01 -0500
2019-04-23 08:51:56 -0500,2019-04-23 02:32:12 -0500,2019-04-23 08:51:50 -0500
2019-04-24 09:32:16 -0500,2019-04-24 03:16:16 -0500,2019-04-24 09:32:11 -0500
2019-04-25 09:18:19 -0500,2019-04-25 01:13:29 -0500,2019-04-25 09:18:14 -0500
2019-04-29 08:00:17 -0500,2019-04-29 02:38:10 -0500,2019-04-29 08:00:12 -0500
2019-04-30 08:57:10 -0500,2019-04-30 01:03:52 -0500,2019-04-30 08:57:05 -0500
2019-05-01 11:52:12 -0500,2019-05-01 05:23:37 -0500,2019-05-01 11:52:07 -0500
2019-05-02 10:47:07 -0500,2019-05-02 02:34:20 -0500,2019-05-02 10:47:02 -0500
2019-05-03 06:20:50 -0500,2019-05-02 23:52:06 -0500,2019-05-03 06:20:45 -0500
2019-05-06 09:45:11 -0500,2019-05-06 09:39:40 -0500,2019-05-06 09:45:06 -0500
2019-05-20 09:45:09 -0500,2019-05-20 09:30:20 -0500,2019-05-20 09:33:56 -0500
2019-05-21 09:45:08 -0500,2019-05-21 06:10:20 -0500,2019-05-21 09:31:40 -0500
2019-05-21 09:45:08 -0500,2019-05-21 09:31:56 -0500,2019-05-21 09:32:16 -0500
2019-05-21 09:45:08 -0500,2019-05-21 09:32:32 -0500,2019-05-21 09:38:28 -0500
2019-05-21 09:45:08 -0500,2019-05-21 09:42:32 -0500,2019-05-21 09:45:03 -0500
2019-05-22 09:45:08 -0500,2019-05-22 09:34:20 -0500,2019-05-22 09:36:08 -0500
2019-05-23 09:45:07 -0500,2019-05-23 09:32:56 -0500,2019-05-23 09:37:56 -0500
2019-05-24 09:45:09 -0500,2019-05-24 04:56:37 -0500,2019-05-24 09:15:20 -0500
2019-05-24 09:45:14 -0500,2019-05-24 04:56:37 -0500,2019-05-24 09:15:20 -0500
2019-05-24 09:45:09 -0500,2019-05-24 09:17:04 -0500,2019-05-24 09:17:12 -0500
2019-05-24 09:45:14 -0500,2019-05-24 09:17:04 -0500,2019-05-24 09:17:12 -0500
2019-05-24 09:45:09 -0500,2019-05-24 09:20:16 -0500,2019-05-24 09:20:28 -0500
2019-05-24 09:45:14 -0500,2019-05-24 09:20:16 -0500,2019-05-24 09:20:28 -0500
2019-05-24 09:45:09 -0500,2019-05-24 09:26:08 -0500,2019-05-24 09:26:24 -0500
2019-05-24 09:45:14 -0500,2019-05-24 09:26:08 -0500,2019-05-24 09:26:24 -0500
2019-05-24 09:45:09 -0500,2019-05-24 09:26:40 -0500,2019-05-24 09:29:40 -0500
2019-05-24 09:45:14 -0500,2019-05-24 09:26:40 -0500,2019-05-24 09:29:40 -0500
2019-05-24 09:45:09 -0500,2019-05-24 09:32:04 -0500,2019-05-24 09:33:16 -0500
2019-05-24 09:45:14 -0500,2019-05-24 09:32:04 -0500,2019-05-24 09:33:16 -0500
2019-05-24 09:45:09 -0500,2019-05-24 09:38:04 -0500,2019-05-24 09:38:08 -0500
